listing_id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,min_nights,total_reviews,avg_rating,price
4,Union Station,5/2/2010,F,,4,Entire home/apt,4,1 bath,1,3,31,15,4.77,645
6,Shaw,10/31/2009,F,0.91,8,Entire home/apt,4,1 bath,2,3,31,196,4.35,80
9,Dupont Circle,6/20/2011,F,0,1,Entire home/apt,2,1 bath,1,1,31,31,4.83,135
11,Shaw,10/31/2009,F,0.91,8,Entire home/apt,4,1 bath,2,2,31,188,4.3,80
14,Shaw,12/14/2011,T,0.86,1,Entire home/apt,2,1 bath,1,1,2,164,4.84,185
15,Dupont Circle,12/22/2011,F,1,1,Entire home/apt,4,1 bath,1,3,3,70,4.89,149
16,Dupont Circle,7/1/2011,F,0.46,12,Entire home/apt,4,1 bath,2,3,5,19,4.56,198
17,Union Station,1/25/2012,F,,6,Entire home/apt,3,2 baths,2,2,90,1,0,129
19,Capitol Hill,9/1/2011,T,0.73,4,Entire home/apt,3,1 bath,1,1,2,152,4.78,184
20,Capitol Hill,3/12/2012,T,0.98,3,Entire home/apt,4,1 bath,1,2,3,268,4.79,200
21,Capitol Hill,3/30/2012,T,0.91,7,Entire home/apt,2,1 bath,,1,2,578,4.88,153
22,Capitol Hill,9/21/2009,T,0.96,2,Entire home/apt,5,2 baths,2,3,3,374,4.91,135
23,Union Station,4/29/2012,T,1,1,Entire home/apt,2,1 bath,1,1,2,917,4.88,100
24,Capitol Hill,6/8/2012,F,0.82,3,Entire home/apt,4,1 bath,1,2,3,253,4.86,130
25,Capitol Hill,6/17/2012,F,0.67,2,Entire home/apt,2,1 bath,1,1,31,31,4.9,145
27,Dupont Circle,6/28/2012,F,1,3,Entire home/apt,2,1 bath,,1,1,113,4.76,120
33,Union Station,11/12/2011,T,0.98,3,Entire home/apt,2,1 bath,1,1,2,723,4.87,125
35,Dupont Circle,11/22/2012,F,,5,Entire home/apt,2,1 bath,1,1,180,24,4.91,140
36,Shaw,10/31/2009,F,0.91,8,Entire home/apt,2,1 bath,1,1,31,164,4.22,75
39,Capitol Hill,1/5/2013,F,,1,Entire home/apt,3,1 bath,1,1,31,18,4.83,120
43,Shaw,11/29/2012,F,0.95,10,Entire home/apt,10,2.5 baths,4,5,3,229,4.62,564
44,Foggy Bottom,1/21/2013,T,0.67,3,Entire home/apt,5,2 baths,3,3,31,168,4.91,165
45,Foggy Bottom,1/21/2013,T,0.67,3,Entire home/apt,5,2 baths,3,2,31,128,4.91,180
47,Dupont Circle,1/27/2012,T,1,7,Entire home/apt,4,2 baths,3,3,31,94,4.83,195
48,Union Station,11/29/2012,F,0.95,10,Entire home/apt,9,4 baths,4,5,31,56,4.44,500
49,Shaw,4/4/2012,T,1,1,Entire home/apt,4,1 bath,,1,2,435,4.94,168
50,Capitol Hill,11/8/2012,F,0.6,8,Entire home/apt,6,2 baths,3,3,31,10,4.2,175
53,Union Station,4/21/2013,T,0.99,2,Entire home/apt,8,2 baths,2,5,2,268,4.75,197
54,Dupont Circle,2/5/2019,F,,6,Entire home/apt,3,1 bath,2,2,28,45,4.42,160
59,Union Station,7/28/2013,F,0.87,4,Entire home/apt,8,3.5 baths,4,5,2,75,4.77,297
61,Dupont Circle,8/23/2013,T,0.95,5,Entire home/apt,2,1 bath,1,1,30,134,4.94,171
62,Union Station,9/2/2013,F,1,14,Entire home/apt,4,1 bath,1,2,2,350,4.77,116
63,Shaw,9/5/2013,T,1,1,Entire home/apt,4,1 bath,1,2,2,433,4.92,150
65,Union Station,9/14/2013,T,1,1,Entire home/apt,2,1 bath,,1,2,268,4.91,107
67,Union Station,10/3/2013,F,1,2,,6,2.5 baths,3,3,3,3,5,225
72,Shaw,7/24/2012,F,0.25,1,Entire home/apt,2,1 bath,1,1,31,23,4.73,132
73,Union Station,10/21/2013,T,1,1,Private room,3,1 private bath,2,2,2,125,4.92,150
78,Union Station,9/23/2013,T,0.99,4,Entire home/apt,4,1 bath,2,2,2,191,4.91,203
80,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,2,2,31,26,4.85,306
81,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,31,25,4.88,270
82,Foggy Bottom,12/17/2013,F,,1,Entire home/apt,4,1 bath,,2,31,35,4.18,93
83,Union Station,4/21/2013,T,0.99,2,Entire home/apt,5,2.5 baths,2,3,2,151,4.85,166
87,Georgetown,1/18/2014,F,,2,Entire home/apt,4,1.5 baths,2,2,31,97,4.9,195
91,Dupont Circle,5/18/2009,F,0.99,164,Entire home/apt,4,1 bath,1,1,31,93,4.65,120
92,Capitol Hill,1/25/2014,T,1,3,Entire home/apt,4,1 bath,1,2,3,345,4.87,155
94,Georgetown,1/30/2014,F,0.82,3,Entire home/apt,5,1 bath,1,3,3,130,4.73,185
97,Dupont Circle,2/5/2014,F,1,12,Entire home/apt,2,1 bath,,1,31,410,4.57,165
